persona_id,tier,style,allergen_stack,n_walls,survivors,pct_of_910,target_kcal,lbm_lb,fat_lo,fat_hi,carb_lo,carb_hi,prot_lo,prot_hi,keto,tgt_fat_per_100kcal,tgt_prot_per_100kcal,tgt_carb_per_100kcal,pool_fat_min,pool_fat_med,pool_fat_max,pool_prot_med,pool_carb_med,n_recipes_all4_in_band,pct_all4_in_band,n_fat_in_band,n_prot_in_band,n_carb_in_band,hull_feasible,hull_gap_bandunits,gap_axis,verdict
p232,EASY,halal,"",0,758,83.3,1534,69.45,24,28,205,229,79,87,0,1.69,5.41,14.15,0.03,3.97,10.96,5.66,10.1,112,14.78,199,465,501,1,0,"","SOLVER-LIMITED"
p233,ROBUSTNESS,none,"shellfish|dairy",2,494,54.29,2038,107.7,37,43,254,278,123,135,0,1.96,6.33,13.05,0.03,3.77,10.96,6.64,9.66,110,22.27,184,335,323,1,0,"","SOLVER-LIMITED"
p234,HARD,vegetarian,"gluten|fish|peanuts|beef",4,171,18.79,1200,76.67,26,31,107,131,87,96,0,2.38,7.63,9.92,0.03,4.03,10.96,4.93,11.21,25,14.62,65,77,128,1,0,"","SOLVER-LIMITED"
p235,EASY,vegan,"pork",1,169,18.57,3340,246.79,84,99,298,322,281,308,0,2.74,8.82,9.28,0.03,3.81,10.96,5.08,11.54,22,13.02,88,76,130,1,0,"","SOLVER-LIMITED"
p236,EASY,none,"beef",1,800,87.91,1565,78.57,27,31,195,219,90,98,0,1.85,6.01,13.23,0.03,4.01,10.96,5.06,10.21,137,17.13,231,440,555,1,0,"","SOLVER-LIMITED"
p237,EASY,none,"sesame",1,853,93.74,2390,141.94,48,57,273,297,162,177,0,2.2,7.09,11.92,0.03,4.15,10.96,5.28,9.9,171,20.05,300,430,570,1,0,"","SOLVER-LIMITED"
p238,EASY,vegan,"shellfish|soy",2,98,10.77,3970,212.48,72,85,525,549,242,266,0,1.98,6.4,13.53,0.03,3.6,10.96,3.11,13.19,12,12.24,33,18,73,1,0,"","SOLVER-LIMITED"
p239,HARD,paleo,"fish|gluten",2,108,11.87,1378,112.38,38,45,80,104,128,140,0,3.01,9.72,6.68,0.03,4.93,10.96,5.4,8.76,13,12.04,40,39,49,1,0,"","SOLVER-LIMITED"
p240,EASY,none,"",0,910,100,1667,179.69,60,75,38,62,205,225,0,4.05,12.9,3,0.03,4.2,10.96,5.39,9.78,7,0.77,609,129,119,1,0,"","SOLVER-LIMITED (thin: <5% in band)"
p241,EASY,none,"",0,910,100,3072,177.3,60,71,372,396,202,222,0,2.13,6.9,12.5,0.03,4.2,10.96,5.39,9.78,172,18.9,302,474,582,1,0,"","SOLVER-LIMITED"
p242,HARD,mediterranean,"soy|tree nuts|shellfish|gluten",4,270,29.67,2878,221.45,75,89,234,258,252,277,0,2.85,9.19,8.55,0.03,4.04,10.96,5.86,9.41,57,21.11,132,110,155,1,0,"","SOLVER-LIMITED"
p243,EASY,none,"shellfish|eggs",2,577,63.41,2604,170.37,58,68,269,293,194,213,0,2.42,7.81,10.79,0.03,3.97,10.96,6.34,9.64,136,23.57,235,318,399,1,0,"","SOLVER-LIMITED"
p244,EASY,halal,"",0,758,83.3,3194,222.23,76,89,310,334,253,278,0,2.58,8.31,10.08,0.03,3.97,10.96,5.66,10.1,164,21.64,343,349,538,1,0,"","SOLVER-LIMITED"
p245,HARD,none,"dairy|eggs|pork|beef|gluten|soy",6,168,18.46,1200,73.28,25,29,114,138,84,92,0,2.25,7.33,10.5,0.03,3.01,10.96,7.28,9.58,65,38.69,88,102,130,1,0,"","SOLVER-LIMITED"
p246,EASY,none,"",0,910,100,1617,87.6,30,35,189,213,100,110,0,2.01,6.49,12.43,0.03,4.2,10.96,5.39,9.78,168,18.46,274,497,609,1,0,"","SOLVER-LIMITED"
p247,EASY,none,"sesame",1,853,93.74,1340,120.48,41,48,54,78,137,151,0,3.32,10.75,4.93,0.03,4.15,10.96,5.28,9.9,28,3.28,443,227,243,1,0,"","SOLVER-LIMITED (thin: <5% in band)"
p248,IMPOSSIBLE,vegan,"nightshades|soy|gluten|peanuts|tree nuts|sesame|legumes",6,12,1.32,3124,216.14,73,86,307,331,246,270,0,2.54,8.26,10.21,0.03,2.17,10.96,1.57,19.02,0,0,3,0,3,0,1.53,"protein+carb+fat","POOL-LIMITED (ratio unreachable)"
p249,HARD,keto,"tree nuts|fish|shellfish|gluten|soy",5,28,3.08,1846,137.42,109,136,10,30,157,172,1,6.64,8.91,1.08,3.35,7.16,10.96,7.43,1.71,12,42.86,26,18,19,1,0,"","SOLVER-LIMITED"
